ID,Season,Classification,Club,Points,"Payrolls: Gross P/Y (EUR, 000's)",Games
1,2009-2010,1,Internazionale,82,152497,38
2,2009-2010,2,Roma,80,64523,38
3,2009-2010,3,Milan,70,124074,38
4,2009-2010,4,Sampdoria,67,21667,38
5,2009-2010,5,Palermo,65,26387,38
6,2009-2010,6,Napoli,59,29259,38
7,2009-2010,7,Juventus,55,105834,38
8,2009-2010,8,Parma,52,21241,38
9,2009-2010,9,Genoa,51,37406,38
10,2009-2010,10,Bari,50,18688,38
11,2009-2010,11,Fiorentina,47,40648,38
12,2009-2010,12,Lazio,46,31575,38
13,2009-2010,13,Catania,45,17297,38
14,2009-2010,14,Chievo,44,15462,38
15,2009-2010,15,Udinese,44,18614,38
16,2009-2010,16,Cagliari,44,14171,38
17,2009-2010,17,Bologna,42,21578,38
18,2009-2010,18,Atalanta,35,14427,38
19,2009-2010,19,Siena,31,17483,38
20,2009-2010,20,Livorno,29,14334,38
21,2010-2011,1,Milan,82,146482,38
22,2010-2011,2,Internazionale,76,133333,38
23,2010-2011,3,Napoli,70,36110,38
24,2010-2011,4,Udinese,66,20649,38
25,2010-2011,5,Lazio,66,44261,38
26,2010-2011,6,Roma,63,86204,38
27,2010-2011,7,Juventus,58,104816,38
28,2010-2011,8,Palermo,56,21834,38
29,2010-2011,9,Fiorentina,51,43793,38
30,2010-2011,10,Genoa,51,40867,38
31,2010-2011,11,Chievo,46,13373,38
32,2010-2011,12,Parma,46,32909,38
33,2010-2011,13,Catania,46,19205,38
34,2010-2011,14,Cagliari,45,15482,38
35,2010-2011,15,Cesena,43,13722,38
36,2010-2011,16,Bologna,42,23258,38
37,2010-2011,17,Lecce,41,14246,38
38,2010-2011,18,Sampdoria,36,38885,38
39,2010-2011,19,Brescia,32,20647,38
40,2010-2011,20,Bari,24,21263,38
41,2011-2012,1,Juventus,84,102093,38
42,2011-2012,2,Milan,80,135222,38
43,2011-2012,3,Udinese,64,25280,38
44,2011-2012,4,Lazio,62,52036,38
45,2011-2012,5,Napoli,61,44168,38
46,2011-2012,6,Internazionale,58,120111,38
47,2011-2012,7,Roma,56,80463,38
48,2011-2012,8,Parma,56,27722,38
49,2011-2012,9,Bologna,51,23833,38
50,2011-2012,10,Chievo,49,15353,38
51,2011-2012,11,Catania,48,23206,38
52,2011-2012,12,Atalanta,46,24686,38
53,2011-2012,13,Fiorentina,46,46886,38
54,2011-2012,14,Siena,44,21167,38
55,2011-2012,15,Cagliari,43,17224,38
56,2011-2012,16,Palermo,43,31760,38
57,2011-2012,17,Genoa,42,36018,38
58,2011-2012,18,Lecce,36,13015,38
59,2011-2012,19,Novara,32,14907,38
60,2011-2012,20,Cesena,22,21096,38
61,2012-2013,1,Juventus,87,92038,38
62,2012-2013,2,Napoli,78,54260,38
63,2012-2013,3,Milan,72,90093,38
64,2012-2013,4,Fiorentina,70,41166,38
65,2012-2013,5,Udinese,66,20835,38
66,2012-2013,6,Roma,62,69593,38
67,2012-2013,7,Lazio,61,53701,38
68,2012-2013,8,Catania,56,16743,38
69,2012-2013,9,Internazionale,54,92314,38
70,2012-2013,10,Parma,49,22538,38
71,2012-2013,11,Cagliari,47,14633,38
72,2012-2013,12,Chievo,45,17887,38
73,2012-2013,13,Bologna,44,26076,38
74,2012-2013,14,Sampdoria,42,28335,38
75,2012-2013,15,Atalanta,40,26926,38
76,2012-2013,16,Torino,39,21689,38
77,2012-2013,17,Genoa,38,39481,38
78,2012-2013,18,Palermo,32,28296,38
79,2012-2013,19,Siena,30,21409,38
80,2012-2013,20,Pescara,22,12997,38
81,2013-2014,1,Juventus,102,81388,38
82,2013-2014,2,Roma,85,62281,38
83,2013-2014,3,Napoli,78,51296,38
84,2013-2014,4,Fiorentina,65,52532,38
85,2013-2014,5,Internazionale,60,64729,38
86,2013-2014,6,Parma,58,23361,38
87,2013-2014,7,Torino,57,20934,38
88,2013-2014,8,Milan,57,88132,38
89,2013-2014,9,Lazio,56,44102,38
90,2013-2014,10,Verona,54,15157,38
91,2013-2014,11,Atalanta,50,18664,38
92,2013-2014,12,Sampdoria,45,20541,38
93,2013-2014,13,Udinese,44,16813,38
94,2013-2014,14,Genoa,44,33520,38
95,2013-2014,15,Cagliari,39,12710,38
96,2013-2014,16,Chievo,36,18244,38
97,2013-2014,17,Sassuolo,34,22923,38
98,2013-2014,18,Catania,32,19226,38
99,2013-2014,19,Bologna,29,17984,38
100,2013-2014,20,Livorno,25,11205,38
101,2014-2015,1,Juventus,87,72376,38
102,2014-2015,2,Roma,70,74908,38
103,2014-2015,3,Lazio,69,33349,38
104,2014-2015,4,Fiorentina,64,45287,38
105,2014-2015,5,Napoli,63,49307,38
106,2014-2015,6,Genoa,59,28304,38
107,2014-2015,7,Sampdoria,56,22331,38
108,2014-2015,8,Internazionale,55,49323,38
109,2014-2015,9,Torino,54,20025,38
110,2014-2015,10,Milan,52,77566,38
111,2014-2015,11,Palermo,49,15638,38
112,2014-2015,12,Sassuolo,49,21288,38
113,2014-2015,13,Verona,46,13253,38
114,2014-2015,14,Chievo,43,14485,38
115,2014-2015,15,Empoli,42,7310,38
116,2014-2015,16,Udinese,41,16588,38
117,2014-2015,17,Atalanta,37,20992,38
118,2014-2015,18,Cagliari,34,11311,38
119,2014-2015,19,Cesena,24,8121,38
120,2014-2015,20,Parma,19,17943,38
121,2015-2016,1,Juventus,91,87578,38
122,2015-2016,2,Napoli,82,52166,38
123,2015-2016,3,Roma,80,69209,38
124,2015-2016,4,Internazionale,67,56792,38
125,2015-2016,5,Fiorentina,64,28991,38
126,2015-2016,6,Sassuolo,61,19206,38
127,2015-2016,7,Milan,57,73608,38
128,2015-2016,8,Lazio,54,36385,38
129,2015-2016,9,Chievo,50,11557,38
130,2015-2016,10,Empoli,46,8989,38
131,2015-2016,11,Genoa,46,27928,38
132,2015-2016,12,Torino,45,17151,38
133,2015-2016,13,Atalanta,45,18321,38
134,2015-2016,14,Bologna,42,23863,38
135,2015-2016,15,Sampdoria,40,26101,38
136,2015-2016,16,Palermo,39,17198,38
137,2015-2016,17,Udinese,39,18013,38
138,2015-2016,18,Carpi,38,12060,38
139,2015-2016,19,Frosinone,31,6048,38
140,2015-2016,20,Verona,28,16809,38
141,2016-2017,1,Juventus,91,113447,38
142,2016-2017,2,Roma,87,83610,38
143,2016-2017,3,Napoli,86,69300,38
144,2016-2017,4,Atalanta,72,22446,38
145,2016-2017,5,Lazio,70,39546,38
146,2016-2017,6,Milan,63,60973,38
147,2016-2017,7,Internazionale,62,72686,38
148,2016-2017,8,Fiorentina,60,32036,38
149,2016-2017,9,Torino,53,37562,38
150,2016-2017,10,Sampdoria,48,27389,38
151,2016-2017,11,Cagliari,47,18788,38
152,2016-2017,12,Sassuolo,46,23866,38
153,2016-2017,13,Udinese,45,17580,38
154,2016-2017,14,Chievo,43,13579,38
155,2016-2017,15,Bologna,41,24064,38
156,2016-2017,16,Genoa,36,31141,38
157,2016-2017,17,Crotone,34,8741,38
158,2016-2017,18,Empoli,32,14819,38
159,2016-2017,19,Palermo,26,16064,38
160,2016-2017,20,Pescara,18,14873,38
161,2017-2018,1,Juventus,95,141295,38
162,2017-2018,2,Napoli,91,77596,38
163,2017-2018,3,Roma,77,73488,38
164,2017-2018,4,Internazionale,72,77424,38
165,2017-2018,5,Lazio,72,58377,38
166,2017-2018,6,Milan,64,105858,38
167,2017-2018,7,Atalanta,60,22762,38
168,2017-2018,8,Fiorentina,57,32738,38
169,2017-2018,9,Torino,54,28112,38
170,2017-2018,10,Sampdoria,54,35044,38
171,2017-2018,11,Sassuolo,43,28941,38
172,2017-2018,12,Genoa,41,31156,38
173,2017-2018,13,Chievo,40,13301,38
174,2017-2018,14,Udinese,40,17296,38
175,2017-2018,15,Bologna,39,23603,38
176,2017-2018,16,Cagliari,39,23309,38
177,2017-2018,17,SPAL,38,19733,38
178,2017-2018,18,Crotone,35,10306,38
179,2017-2018,19,Verona,25,17845,38
180,2017-2018,20,Benevento,21,17724,38
181,2018-2019,1,Juventus,90,237307,38
182,2018-2019,2,Napoli,79,95247,38
183,2018-2019,3,Atalanta,69,38886,38
184,2018-2019,4,Internazionale,69,119511,38
185,2018-2019,5,Milan,68,142693,38
186,2018-2019,6,Roma,66,105505,38
187,2018-2019,7,Torino,63,44676,38
188,2018-2019,8,Lazio,59,65095,38
189,2018-2019,9,Sampdoria,53,39079,38
190,2018-2019,10,Bologna,44,40746,38
191,2018-2019,11,Sassuolo,43,36347,38
192,2018-2019,12,Udinese,43,35255,38
193,2018-2019,13,SPAL,42,24471,38
194,2018-2019,14,Parma,41,24904,38
195,2018-2019,15,Cagliari,41,32073,38
196,2018-2019,16,Fiorentina,41,43284,38
197,2018-2019,17,Genoa,38,38170,38
198,2018-2019,18,Empoli,38,19656,38
199,2018-2019,19,Frosinone,25,22501,38
200,2018-2019,20,Chievo,17,24171,38
201,2019-2020,1,Juventus,83,255540,38
202,2019-2020,2,Internazionale,82,116620,38
203,2019-2020,3,Atalanta,78,36820,38
204,2019-2020,4,Lazio,78,64110,38
205,2019-2020,5,Roma,70,116900,38
206,2019-2020,6,Milan,66,105190,38
207,2019-2020,7,Napoli,62,100340,38
208,2019-2020,8,Sassuolo,51,32320,38
209,2019-2020,9,Verona,49,27350,38
210,2019-2020,10,Fiorentina,49,48140,38
211,2019-2020,11,Parma,49,28740,38
212,2019-2020,12,Bologna,47,36880,38
213,2019-2020,13,Udinese,45,20590,38
214,2019-2020,14,Cagliari,45,42850,38
215,2019-2020,15,Sampdoria,42,37170,38
216,2019-2020,16,Torino,40,46280,38
217,2019-2020,17,Genoa,39,47810,38
218,2019-2020,18,Lecce,35,32320,38
219,2019-2020,19,Brescia,25,16190,38
220,2019-2020,20,SPAL,20,30940,38
221,2020-2021,1,Internazionale,91,138880,38
222,2020-2021,2,Milan,79,85450,38
223,2020-2021,3,Atalanta,78,45480,38
224,2020-2021,4,Juventus,78,216130,38
225,2020-2021,5,Napoli,77,106140,38
226,2020-2021,6,Lazio,68,87170,38
227,2020-2021,7,Roma,62,114090,38
228,2020-2021,8,Sassuolo,62,31630,38
229,2020-2021,9,Sampdoria,52,30570,38
230,2020-2021,10,Verona,45,29160,38
231,2020-2021,11,Genoa,42,40980,38
232,2020-2021,12,Bologna,41,36230,38
233,2020-2021,13,Fiorentina,40,51890,38
234,2020-2021,14,Udinese,40,29760,38
235,2020-2021,15,Spezia,39,20400,38
236,2020-2021,16,Cagliari,37,59750,38
237,2020-2021,17,Torino,37,49970,38
238,2020-2021,18,Benevento,33,32410,38
239,2020-2021,19,Crotone,23,18990,38
240,2020-2021,20,Parma,20,42370,38
241,2021-2022,1,Milan,86,87780,38
242,2021-2022,2,Internazionale,84,154270,38
243,2021-2022,3,Napoli,79,101450,38
244,2021-2022,4,Juventus,70,180950,38
245,2021-2022,5,Lazio,64,78440,38
246,2021-2022,6,Roma,63,99930,38
247,2021-2022,7,Fiorentina,62,56760,38
248,2021-2022,8,Atalanta,59,46350,38
249,2021-2022,9,Verona,53,23720,38
250,2021-2022,10,Torino,50,55320,38
251,2021-2022,11,Sassuolo,50,28350,38
252,2021-2022,12,Udinese,47,24070,38
253,2021-2022,13,Bologna,46,38530,38
254,2021-2022,14,Empoli,41,37300,38
255,2021-2022,15,Sampdoria,36,37650,38
256,2021-2022,16,Spezia,36,18390,38
257,2021-2022,17,Salernitana,31,34300,38
258,2021-2022,18,Cagliari,30,35430,38
259,2021-2022,19,Genoa,28,44810,38
260,2021-2022,20,Venezia,27,23170,38
261,2022-2023,1,Napoli,,70100,38
262,2022-2023,2,Internazionale,,127230,38
263,2022-2023,3,Roma,,95760,38
264,2022-2023,4,Lazio,,65660,38
265,2022-2023,5,Atalanta,,39560,38
266,2022-2023,6,Milan,,87920,38
267,2022-2023,7,Torino,,34790,38
268,2022-2023,8,Udinese,,19120,38
269,2022-2023,9,Bologna,,33560,38
270,2022-2023,10,Juventus,,159390,38
271,2022-2023,11,Monza,,41610,38
272,2022-2023,12,Empoli,,27160,38
273,2022-2023,13,Fiorentina,,52170,38
274,2022-2023,14,Lecce,,15990,38
275,2022-2023,15,Sassuolo,,31040,38
276,2022-2023,16,Salernitana,,34080,38
277,2022-2023,17,Spezia,,22290,38
278,2022-2023,18,Verona,,21240,38
279,2022-2023,19,Sampdoria,,24620,38
280,2022-2023,20,Cremonese,,20950,38
